session,session_date,session_time,participant,sliders_correct,dict_treatment,dict_group_uid,dict_id_in_group,dict_attempt_1,dict_attempt_2,dict_attempt_3,dict_ans_check,dict_group_give,dict_group_die_1,dict_group_die_2,dict_payoff,dict_gachter_circles,bret_boxes_collected,bret_bomb,bret_payoff,svo_group_uid,svo_role,svo_1,svo_2,svo_3,svo_4,svo_5,svo_6,svo_mean_self,svo_mean_other,svo_score,svo_classification,svo_paid_choice,svo_payoff,risque_general,risque_sante,risque_argent,patience,confiance_autres,confiance_autres_general,confiance_autres_famille,confiance_autres_travail,year_of_birth,gender,nationality,marital_status,student,study_level,study_discipline,socioprofessional_group,politique,experiment_participation,part2_selected_task,comments,final_payoff
obg57lsl,2022-02-28,10:11:13.360317,5t3tkode,20,3,s18g8,1,1.0,1.0,1.0,1,8,5,0,12.0,,70,False,7.0,s18g5,1,3,8,8,8,3,0,89.333,54.667,6.767,individualist,6.0,100.0,10,7,10,2,0,6,10,4,2002,1,FR,0,False,0,26,8.0,5,True,1,,19.0
ricx69vg,2021-10-07,12:35:20.702032,64btwv3v,20,1,s23g2,1,1.0,2.0,0.0,2,5,1,0,15.0,,1,False,0.1,s23g2,2,1,3,8,8,8,5,81.167,62.667,22.118,individualist,3.0,85.0,5,5,0,7,0,3,7,0,2001,1,IT,0,True,3,9,,0,True,2,c'est tres interessant,19.25
obg57lsl,2022-02-28,10:11:13.218600,651ryvs6,20,3,s18g6,1,0.0,1.0,0.0,1,5,6,0,35.0,,40,False,4.0,s18g6,1,0,8,8,4,4,7,83.333,72.333,33.822,prosocial,2.0,100.0,10,0,8,10,0,7,10,2,1983,0,FR,0,True,1,10,,1,False,2,super expérience,40.0
ricx69vg,2021-10-07,12:35:20.551957,6c5gvmri,20,1,s23g9,1,2.0,2.0,2.0,0,0,2,0,40.0,,85,False,8.5,s23g9,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,5.0,100.0,9,2,6,6,0,0,6,4,1997,1,CI,0,True,4,6,,5,True,2,,45.0
d3x68v1t,2021-12-02,09:35:03.283730,6h2g7xn2,20,0,s10g4,2,,,,0,10,0,0,20.0,,14,True,0.0,s10g4,2,0,8,8,0,4,8,80.0,80.0,45.0,prosocial,3.0,85.0,5,6,6,8,0,3,8,3,1999,0,FR,0,True,3,7,,5,True,1,,20.0
zknsvvur,2021-10-07,14:05:12.274087,6k21svct,19,3,s31g6,2,1.0,0.0,0.0,1,10,6,0,30.0,,50,False,5.0,s31g3,1,4,8,8,4,4,8,83.0,67.167,27.484,prosocial,5.0,75.0,5,0,3,10,0,10,0,0,1995,0,FR,0,True,5,0,,7,True,2,,33.75
mbii9qpy,2023-07-17,14:05:24.630325,6k35pijo,20,3,s17g6,1,0.0,1.0,2.0,2,5,3,0,15.0,2.0,80,True,0.0,s17g7,2,5,8,8,8,0,0,92.5,48.5,-2.021,individualist,3.0,100.0,4,2,3,7,0,3,3,2,2004,0,MA,0,True,1,6,,3,False,1,,15.0
mbii9qpy,2023-07-17,14:05:24.613604,6k3c6sl7,20,3,s17g6,2,1.0,2.0,0.0,1,5,3,0,5.0,2.0,25,False,2.5,s17g7,1,0,8,0,4,4,8,77.167,75.5,43.187,prosocial,3.0,50.0,4,3,3,6,0,2,4,1,2001,0,FR,0,True,3,8,,6,True,2,,7.5
1picali9,2021-09-23,14:04:50.996870,6o44mla2,20,0,s0g3,1,,,,0,10,0,0,20.0,,40,True,0.0,s0g2,1,0,5,6,4,4,2,82.333,67.167,27.966,prosocial,4.0,68.0,7,5,5,8,0,5,7,6,1995,0,FR,1,False,3,7,5.0,5,True,1,,20.0
vffbvolu,2021-10-07,10:33:49.741974,6rphghks,20,2,s28g3,1,0.0,0.0,1.0,0,10,5,0,20.0,,50,False,5.0,s28g7,2,0,8,8,0,4,8,80.0,80.0,45.0,prosocial,6.0,50.0,6,8,3,9,1,9,10,9,1991,0,FR,0,False,5,4,5.0,4,True,2,merci,22.5
hib3cqt6,2023-07-17,10:14:53.248680,6vz02qm1,20,0,s11g4,2,,,,0,0,0,0,10.0,1.0,40,False,4.0,s11g3,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,5.0,50.0,5,3,5,8,1,7,8,6,2003,0,FR,0,True,2,26,,1,False,2,,12.5
vrmpn3zv,2023-10-05,14:08:37.990729,6vz7ic1a,20,2,s29g10,1,0.0,0.0,1.0,0,10,1,0,20.0,1.0,10,False,1.0,s29g10,2,0,8,8,4,2,8,85.167,71.0,30.844,prosocial,5.0,50.0,8,4,5,3,1,8,9,6,2004,0,EC,0,True,2,6,,3,False,1,,21.0
77fw3e9h,2021-10-07,15:37:35.221766,6zianxkx,20,0,s3g2,1,,,,0,1,0,0,29.0,,50,True,0.0,s3g3,1,8,0,8,8,1,1,88.667,40.0,-14.5,competitive,1.0,85.0,3,0,0,8,0,10,7,9,2003,1,FR,0,True,1,26,,3,False,2,,33.25
vffbvolu,2021-10-07,10:33:49.700401,717pljzi,20,2,s28g6,2,1.0,0.0,1.0,1,10,5,0,10.0,,55,True,0.0,s28g5,1,1,5,7,3,4,6,81.167,69.833,32.47,prosocial,2.0,94.0,6,2,0,8,0,4,10,5,1998,0,FR,0,True,5,26,,9,True,2,"difficile de comprendre certaines consignes, réponses un peu aléatoires",14.7
l4hdbtm8,2021-09-24,13:15:16.197710,72ont118,20,2,s15g7,1,1.0,0.0,2.0,2,10,6,0,20.0,,30,False,3.0,s15g8,1,0,8,0,4,1,0,82.833,66.5,26.682,prosocial,2.0,100.0,8,5,6,10,0,3,8,7,2001,0,FR,0,True,3,26,,5,True,2,,25.0
obg57lsl,2022-02-28,10:11:13.260479,73nsyap3,20,3,s18g2,1,1.0,2.0,0.0,1,5,2,0,35.0,,30,False,3.0,s18g4,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,6.0,100.0,6,4,3,0,0,4,8,6,1998,0,FR,0,True,5,26,,9,True,2,,40.0
bgvzfud6,2023-06-06,15:44:36.497440,758qogxv,20,2,s7g2,2,2.0,0.0,2.0,2,5,6,0,25.0,4.0,57,True,0.0,s7g5,1,0,8,8,5,3,8,84.667,70.167,30.188,prosocial,3.0,85.0,7,6,8,3,0,3,5,2,1997,0,LB,0,True,4,9,,4,True,2,,29.25
77fw3e9h,2021-10-07,15:37:35.263430,76sq8p26,20,0,s3g4,1,,,,0,5,0,0,25.0,,65,True,0.0,s3g5,1,0,8,8,5,2,0,88.333,63.333,19.179,individualist,1.0,85.0,7,4,5,2,0,2,9,5,2000,0,BG,0,True,2,9,,5,True,2,,29.25
zknsvvur,2021-10-07,14:05:12.390819,79mlrovo,20,3,s31g4,1,1.0,1.0,0.0,0,5,6,0,35.0,,50,True,0.0,s31g7,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,1.0,85.0,5,1,5,8,0,5,8,4,2002,1,FR,0,True,2,6,,5,True,2,,39.25
t7l852vx,2023-06-06,14:04:26.759828,7ahq78u2,20,1,s24g5,1,2.0,2.0,2.0,0,5,2,0,35.0,2.0,50,False,5.0,s24g4,1,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,3.0,85.0,5,0,5,8,1,3,10,5,1997,1,FR,0,False,6,26,5.0,0,True,1,,40.0
t7l852vx,2023-06-06,14:04:26.776617,7ee6smqp,20,1,s24g7,1,1.0,1.0,2.0,2,10,2,0,30.0,3.0,80,True,0.0,s24g7,1,0,8,8,0,3,8,81.0,79.0,43.091,prosocial,4.0,50.0,5,0,0,10,0,0,10,5,1976,0,FR,3,False,0,6,8.0,0,True,1,,30.0
l4hdbtm8,2021-09-24,13:15:16.147725,7k8htizu,20,2,s15g10,2,0.0,0.0,1.0,0,5,2,0,25.0,,30,False,3.0,s15g9,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,6.0,85.0,6,0,0,7,0,3,7,7,1997,1,FR,1,True,4,8,,10,True,2,,29.25
ql3gbopg,2022-02-28,14:38:37.448056,7lh30itw,19,0,s20g3,2,,,,0,5,0,0,15.0,,100,True,0.0,s20g3,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,6.0,85.0,7,0,5,7,1,10,10,8,1992,1,KM,0,True,3,26,,4,False,1,"C'est juste que je n'ai pas trouvé dans la liste proposée le nom de la catégorie de ma formation.    A part cela, rien a signalé.",15.0
pb87jhkl,2023-10-05,10:04:54.950868,7qfzte0f,20,1,s19g5,1,2.0,0.0,0.0,2,10,2,0,30.0,3.0,40,True,0.0,s19g5,2,0,8,0,7,0,2,85.333,61.667,18.273,individualist,5.0,50.0,7,4,5,3,0,4,5,7,2005,1,FR,0,True,0,9,,6,False,2,,32.5
qpboszoi,2023-09-11,14:35:06.940758,7rpmxs1o,40,2,s21g2,1,0.0,2.0,2.0,2,5,1,0,25.0,1.0,30,False,3.0,s21g2,2,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,4.0,15.0,6,0,1,5,0,3,6,3,2004,1,FR,0,True,0,6,,7,False,1,,28.0
t7l852vx,2023-06-06,14:04:26.698081,7u3f2hxb,20,1,s24g5,2,1.0,2.0,2.0,1,5,2,0,15.0,1.0,25,True,0.0,s24g3,1,4,8,8,4,0,0,89.667,57.167,10.242,individualist,6.0,100.0,8,4,6,3,0,2,7,1,2006,1,FR,0,True,0,8,,8,True,2,experience facile de comprehension,20.0
hib3cqt6,2023-07-17,10:14:53.264963,7uet56u0,20,0,s11g5,2,,,,0,5,0,0,15.0,2.0,50,False,5.0,s11g5,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,2.0,33.0,7,7,8,4,0,6,8,4,2003,1,FR,0,True,2,3,,3,True,1,,20.0
4j0x1iqn,2021-10-14,10:40:10.255141,813srvnu,20,2,s1g6,2,1.0,0.0,1.0,1,10,6,0,30.0,,13,False,1.3,s1g7,1,0,8,7,8,5,5,85.167,65.0,23.1,prosocial,2.0,100.0,8,3,6,8,0,4,8,3,1999,1,DZ,0,True,1,6,,7,False,2,plus stressant que je le pensais,35.0
56arlii3,2021-10-07,09:04:01.909971,813v91mr,20,3,s2g5,2,1.0,1.0,0.0,0,10,2,0,30.0,,12,False,1.2,s2g5,1,0,8,0,2,2,7,78.167,76.333,43.073,prosocial,1.0,85.0,7,5,6,4,0,8,9,5,2002,0,FR,0,True,1,8,,4,True,2,,34.25
v645jz3v,2021-12-02,14:36:58.060634,821t9i8x,20,3,s27g4,1,2.0,1.0,1.0,2,5,5,0,15.0,,99,True,0.0,s27g2,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,2.0,50.0,10,5,7,4,0,0,3,0,1997,0,LB,0,True,3,4,,5,True,1,,15.0
jh8e81hs,2021-10-14,14:35:03.714913,82xpsy6a,20,1,s13g2,1,2.0,2.0,0.0,1,10,1,0,10.0,,10,True,0.0,s13g3,2,0,8,1,4,5,8,76.833,76.167,44.28,prosocial,4.0,68.0,8,8,6,5,0,6,10,8,2002,1,FR,0,True,1,6,,5,False,2,Une expérience très intéressante,13.4
iska0u63,2023-06-05,15:33:09.877243,86h60h0u,20,0,s12g10,1,,,,0,0,0,0,30.0,1.0,40,True,0.0,s12g10,2,8,0,8,8,0,0,90.0,38.333,-16.261,competitive,1.0,85.0,5,0,5,6,0,4,10,6,1994,1,FR,0,False,3,6,2.0,4,False,2,,34.25
qpboszoi,2023-09-11,14:35:07.080259,88clk96w,40,2,s21g3,1,1.0,2.0,0.0,3,10,6,0,20.0,4.0,64,False,6.4,s21g4,1,0,8,8,0,8,0,78.333,78.333,45.0,prosocial,3.0,85.0,7,9,2,9,0,0,0,0,2004,0,FR,0,True,1,8,,6,False,1,,26.4
d3x68v1t,2021-12-02,09:35:03.324931,8d7uvku4,20,0,s10g2,2,,,,0,5,0,0,15.0,,31,True,0.0,s10g2,2,0,2,1,3,4,8,75.167,72.5,41.798,prosocial,6.0,63.0,7,6,6,6,1,8,10,9,2003,1,FR,0,True,1,6,,4,False,2,,18.15
v645jz3v,2021-12-02,14:36:58.283187,8iswz8rm,20,3,s27g6,1,1.0,1.0,0.0,0,5,4,0,35.0,,50,True,0.0,s27g7,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,3.0,85.0,8,5,8,6,0,5,8,5,1997,1,FR,0,True,5,15,,8,True,1,,35.0
d3x68v1t,2021-12-02,09:35:03.409332,8vbq0hr2,20,0,s10g3,1,,,,0,10,0,0,20.0,,50,False,5.0,s10g3,1,0,8,8,5,1,8,86.833,68.0,26.044,prosocial,4.0,72.0,5,6,4,6,1,7,10,6,2001,0,FR,0,True,3,6,,4,True,2,,23.6
v645jz3v,2021-12-02,14:36:58.099879,8x1zuop2,20,3,s27g5,2,0.0,1.0,0.0,1,10,1,0,10.0,,60,True,0.0,s27g5,1,0,8,0,0,8,8,70.0,86.667,61.39,altruist,6.0,85.0,7,5,5,9,1,6,8,3,1991,0,US,0,False,5,7,8.0,2,True,2,,14.25
ricx69vg,2021-10-07,12:35:20.374557,92p3pzo3,20,1,s23g5,1,0.0,2.0,1.0,2,5,1,0,15.0,,45,False,4.5,s23g4,2,8,8,8,8,0,0,92.5,44.167,-7.815,individualist,5.0,50.0,7,4,3,5,0,5,7,4,1998,0,FR,0,True,5,6,,4,True,2,,17.5
obg57lsl,2022-02-28,10:11:13.151941,9848k7pb,19,3,s18g11,2,2.0,1.0,0.0,1,5,3,0,5.0,,10,False,1.0,s18g8,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,6.0,76.0,6,0,0,7,0,0,6,0,2000,0,FR,0,True,3,26,,0,False,1,,6.0
vffbvolu,2021-10-07,10:33:49.509186,98fa0j6w,20,2,s28g2,1,0.0,0.0,1.0,0,0,4,0,30.0,,50,True,0.0,s28g3,1,0,8,8,4,0,0,89.667,63.0,18.145,individualist,4.0,68.0,2,1,2,9,1,7,9,8,1994,0,FR,0,False,5,2,8.0,2,True,1,,30.0
obg57lsl,2022-02-28,10:11:13.310357,9epg9hhx,20,3,s18g5,1,1.0,1.0,0.0,0,10,1,0,10.0,,33,False,3.3,s18g10,2,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,3.0,85.0,6,3,5,3,1,9,6,5,2000,1,FR,0,False,0,16,5.0,0,True,1,,13.3
4j0x1iqn,2021-10-14,10:40:10.080207,9fg2fb6m,20,2,s1g7,2,1.0,0.0,1.0,1,5,6,0,25.0,,99,True,0.0,s1g8,1,8,8,8,8,0,0,92.5,44.167,-7.815,individualist,1.0,85.0,10,5,5,3,0,4,5,5,1990,1,FR,0,False,5,6,2.0,5,True,2,,29.25
qq90voxd,2021-09-24,09:45:54.561966,9iefa2kn,20,1,s22g4,1,2.0,2.0,2.0,0,5,2,0,35.0,,10,False,1.0,s22g8,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,3.0,89.0,0,0,3,0,1,10,10,10,1997,1,NE,0,True,3,6,,5,False,2,Merci,39.45
vrmpn3zv,2023-10-05,14:08:37.940694,9ijs82g9,20,2,s29g3,2,0.0,2.0,0.0,2,5,2,0,25.0,1.0,40,False,4.0,s29g7,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,6.0,100.0,8,4,8,10,0,5,8,2,2004,1,LB,0,True,1,6,,5,True,1,,29.0
9la3iku5,2023-06-05,14:05:06.409549,9jmqqz0w,20,3,s6g8,1,0.0,1.0,0.0,1,10,6,0,30.0,5.0,48,False,4.8,s6g8,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,4.0,15.0,7,6,8,6,0,4,7,6,2004,1,BR,0,True,0,11,,5,True,1,,34.8
vffbvolu,2021-10-07,10:33:49.600321,9kvmyst0,20,2,s28g6,1,2.0,0.0,2.0,2,10,5,0,20.0,,20,True,0.0,s28g6,2,0,8,8,8,0,8,90.0,61.667,16.261,individualist,4.0,68.0,4,4,3,5,0,5,6,4,1996,1,MA,0,True,5,6,,4,True,1,bravo au joueur 2 qui a choisis 63 pour lui et 68 pour moi comme quoi il y'a des gens vraiment bien j'espère que c'est le meme joueur 2 de la partie 1,20.0
tocih6v9,2021-10-14,13:05:54.467670,9laie2ci,20,0,s25g4,2,,,,0,5,0,0,15.0,,60,True,0.0,s25g4,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,2.0,50.0,3,0,1,4,1,6,10,8,1998,0,FR,0,False,5,9,4.0,6,True,1,,15.0
l4hdbtm8,2021-09-24,13:15:16.164382,9t6efhfb,20,2,s15g4,2,0.0,1.0,1.0,1,0,6,0,20.0,,59,True,0.0,s15g3,2,0,8,8,0,4,8,80.0,80.0,45.0,prosocial,3.0,85.0,7,7,4,7,0,7,10,7,1997,1,FR,0,True,5,26,,2,True,2,,24.25
1picali9,2021-09-23,14:04:50.705820,9ulwzidh,20,0,s0g8,1,,,,0,7,0,0,23.0,,33,False,3.3,s0g9,2,0,8,8,0,0,8,84.167,75.833,37.092,prosocial,4.0,58.0,4,7,3,2,0,4,7,3,2000,1,FR,0,True,2,6,,3,True,1,expérience enrichissante.,26.3
9hkdzuk6,2021-12-02,11:12:19.663517,9wpgofym,20,1,s5g5,2,2.0,2.0,2.0,0,5,3,0,15.0,,30,False,3.0,s5g5,2,0,8,0,3,4,2,78.167,72.833,39.029,prosocial,3.0,85.0,5,3,5,3,0,4,7,5,2002,1,LB,0,True,1,9,,5,False,2,,19.25
zoyfmdzc,2023-09-11,10:06:16.012744,9x8sr9s4,40,0,s32g4,2,,,,0,0,0,0,10.0,2.0,20,True,0.0,s32g4,1,0,1,8,4,4,0,83.333,62.0,19.799,individualist,4.0,68.0,8,3,6,10,0,8,9,6,2003,1,FR,0,True,3,11,,3,True,2,"expérience plutôt courte et moi stratégique que les précédentes. Mais elles restent intéressantes, à refaire...",13.4
1picali9,2021-09-23,14:04:50.780018,a15jg8dy,20,0,s0g5,2,,,,0,0,0,0,10.0,,20,False,2.0,s0g6,2,0,8,8,4,3,8,84.0,72.0,32.905,prosocial,6.0,50.0,2,2,2,9,0,2,4,2,1976,1,FR,0,False,4,26,8.0,6,True,1,,12.0
vrmpn3zv,2023-10-05,14:08:37.915690,a21jx6y8,20,2,s29g7,1,0.0,0.0,1.0,0,5,6,0,25.0,3.0,40,False,4.0,s29g8,1,0,8,8,4,0,1,89.333,63.667,19.161,individualist,3.0,85.0,2,0,3,10,0,4,9,3,2004,1,FR,0,True,1,6,,5,True,2,Bonne expérience,29.25
cupsfubn,2021-12-02,13:09:30.023570,a5xnw17v,20,2,s9g4,1,0.0,0.0,1.0,0,0,6,0,30.0,,50,True,0.0,s9g4,1,0,8,8,4,0,0,89.667,63.0,18.145,individualist,5.0,100.0,7,3,7,9,0,7,10,8,1993,1,DZ,0,False,5,6,2.0,5,True,2,,35.0
zknsvvur,2021-10-07,14:05:12.374123,a9w3jci9,20,3,s31g3,1,1.0,0.0,0.0,1,10,6,0,30.0,,33,False,3.3,s31g4,2,0,8,8,6,0,6,89.167,63.667,19.236,individualist,6.0,85.0,10,5,10,4,0,3,10,2,1992,1,FR,0,False,2,26,8.0,5,False,1,,33.3
l4hdbtm8,2021-09-24,13:15:16.114355,aeha3da5,20,2,s15g8,1,0.0,2.0,1.0,1,10,1,0,20.0,,30,False,3.0,s15g8,2,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,2.0,50.0,6,3,4,5,1,4,8,7,1997,0,FR,0,True,5,23,,2,True,2,,22.5
56arlii3,2021-10-07,09:04:01.976771,afg67s33,20,3,s2g5,1,1.0,1.0,2.0,1,10,2,0,30.0,,50,False,5.0,s2g7,1,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,4.0,68.0,4,3,2,7,0,4,10,6,2003,1,BR,0,True,0,6,,4,False,2,L'expérience a été très interéssante.,33.4
t7l852vx,2023-06-06,14:04:26.793252,aja6e8n8,20,1,s24g4,1,2.0,2.0,2.0,0,5,3,0,15.0,1.0,30,False,3.0,s24g6,1,0,8,8,8,0,8,90.0,61.667,16.261,individualist,1.0,85.0,3,1,6,2,0,3,6,3,1992,1,DZ,0,False,5,21,2.0,8,True,2,"Expérience différente des autres, facteur aléatoire élevé.",19.25
iska0u63,2023-06-05,15:33:09.792674,aqsr7san,20,0,s12g10,2,,,,0,0,0,0,10.0,1.0,99,True,0.0,s12g10,1,0,8,8,3,4,8,82.167,74.667,37.482,prosocial,1.0,85.0,7,6,5,4,1,7,8,7,2005,1,CI,0,True,1,6,,5,True,2,bonne experience,14.25
lumtsvlr,2023-10-05,15:13:23.672154,awdl092j,20,3,s16g5,2,2.0,2.0,2.0,3,10,1,0,10.0,4.0,14,False,1.4,s16g4,1,5,8,4,5,0,0,87.5,55.167,7.845,individualist,3.0,68.0,7,8,6,4,0,6,9,7,2006,1,FR,0,True,0,6,,5,False,1,,11.4
9la3iku5,2023-06-05,14:05:06.292848,azvtnq3z,20,3,s6g7,2,1.0,1.0,0.0,0,9,1,0,9.0,2.0,25,False,2.5,s6g7,2,0,8,8,4,0,8,87.167,68.833,26.872,prosocial,4.0,26.0,7,0,5,0,0,4,10,5,2004,0,FR,0,True,1,2,,5,False,1,,11.5
ccxcrzzr,2021-10-14,09:04:30.433651,b4o286mp,20,3,s8g6,2,1.0,1.0,1.0,1,5,4,0,25.0,,10,False,1.0,s8g5,1,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,3.0,85.0,7,6,6,4,0,4,7,1,1997,1,FR,0,True,5,6,,3,True,2,Très intéressante.,29.25
ql3gbopg,2022-02-28,14:38:37.593102,b4ov6h8c,20,0,s20g6,2,,,,0,0,0,0,10.0,,50,False,5.0,s20g5,1,0,0,0,0,0,0,78.333,66.667,30.466,prosocial,3.0,50.0,7,0,7,5,0,0,8,0,1996,1,MA,1,False,5,21,8.0,0,True,2,,12.5
zknsvvur,2021-10-07,14:05:12.257473,b87d364z,20,3,s31g8,1,2.0,0.0,1.0,3,5,3,0,15.0,,50,True,0.0,s31g10,2,0,8,8,8,0,8,90.0,61.667,16.261,individualist,5.0,50.0,7,0,4,0,0,6,10,8,1996,0,TN,0,True,4,17,,2,False,1,"Je pense que la tache sur le choix de répartition dépend énormément des personnalités de chacun. Moi étant altruiste de nature mais devenue vigilente avec les mauvaises experiences cumulées, j'essaie de laisser une place à l'autre (un gain) même minime sans me desaventager mais aussi sans trop gagner. une autre personne qui serait plus logique dans sa tête viellera vraiment à avoir le max de gains dans toutes les situations.",15.0
obg57lsl,2022-02-28,10:11:13.377396,b8f1bj75,19,3,s18g3,1,2.0,2.0,2.0,3,5,1,0,15.0,,39,False,3.9,s18g3,1,0,8,0,3,4,8,76.333,77.167,45.893,prosocial,4.0,63.0,1,0,3,2,0,5,9,3,2003,0,FR,0,True,1,15,,0,True,2,aucun probléme les exercice sont parfaitement comprensible,18.15
ricx69vg,2021-10-07,12:35:20.618688,bbvmpi3i,20,1,s23g5,2,2.0,2.0,2.0,0,5,1,0,15.0,,15,True,0.0,s23g4,1,0,8,8,8,0,8,90.0,61.667,16.261,individualist,5.0,100.0,7,4,7,7,0,3,8,3,1993,0,FR,0,False,5,12,2.0,4,True,2,,20.0
56arlii3,2021-10-07,09:04:01.927170,bceuo8i8,20,3,s2g3,1,1.0,1.0,1.0,1,8,5,0,12.0,,8,False,0.8,s2g2,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,5.0,63.0,5,7,2,10,0,3,7,5,2000,0,FR,0,True,3,8,,2,True,2,,15.15
l4hdbtm8,2021-09-24,13:15:16.389469,bfoy9dg3,20,2,s15g5,2,2.0,2.0,2.0,3,2,3,0,2.0,,75,True,0.0,s15g4,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,1.0,85.0,8,3,4,9,0,7,10,7,1999,0,MA,0,True,4,5,,2,True,2,,6.25
zoyfmdzc,2023-09-11,10:06:16.146161,bfvmzgzt,40,0,s32g6,1,,,,0,5,0,0,25.0,2.0,50,False,5.0,s32g7,2,0,8,8,8,0,0,92.5,55.833,7.815,individualist,2.0,50.0,5,1,6,3,0,4,10,2,1996,0,LB,2,True,5,16,,5,False,1,uj,30.0
ucou4xpq,2023-10-05,11:07:37.774436,bh0hzqz5,19,2,s26g7,2,1.0,2.0,1.0,2,5,1,0,5.0,6.0,2,True,0.0,s26g7,1,2,8,1,5,1,2,83.5,63.0,21.209,individualist,2.0,100.0,7,3,8,5,0,8,7,3,2005,1,FR,0,True,1,26,,6,False,2,très sympa,10.0
qpboszoi,2023-09-11,14:35:06.980266,bhkyzozd,40,2,s21g5,2,0.0,0.0,0.0,1,5,6,0,25.0,2.0,60,True,0.0,s21g3,1,0,8,8,6,1,2,89.333,61.833,16.743,individualist,3.0,85.0,2,3,2,8,0,2,5,2,2004,0,FR,0,True,1,6,,9,True,2,,29.25
yqf918j3,2023-09-11,13:05:09.700031,bim8wdka,40,1,s30g4,2,2.0,1.0,2.0,1,5,3,0,15.0,2.0,50,False,5.0,s30g5,1,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,6.0,85.0,10,3,7,3,0,5,7,4,2002,1,FR,0,True,1,6,,5,False,1,,20.0
zknsvvur,2021-10-07,14:05:12.155683,bkoafxn0,20,3,s31g2,1,1.0,1.0,0.0,0,10,4,0,30.0,,25,False,2.5,s31g2,1,0,8,5,3,4,8,80.0,75.667,40.549,prosocial,6.0,85.0,5,1,2,7,0,2,9,6,1999,0,FR,0,True,1,8,,5,False,1,Expérience intéressante à faire,32.5
yqf918j3,2023-09-11,13:05:09.968865,bkw1uk3m,40,1,s30g2,2,1.0,2.0,0.0,2,6,6,0,16.0,4.0,40,True,0.0,s30g6,2,0,3,0,0,0,8,76.833,74.667,42.592,prosocial,3.0,85.0,6,2,4,8,0,5,7,4,2005,1,FR,0,True,0,22,,7,False,2,,20.25
pb87jhkl,2023-10-05,10:04:54.883878,bntcvfv4,20,1,s19g10,2,2.0,2.0,2.0,0,5,5,0,15.0,4.0,55,False,5.5,s19g10,1,0,8,8,8,0,0,92.5,55.833,7.815,individualist,4.0,85.0,4,8,3,6,0,5,10,6,2005,0,FR,0,True,0,6,,5,True,2,,19.25
jh8e81hs,2021-10-14,14:35:03.648251,bryxzrku,20,1,s13g5,2,1.0,2.0,2.0,1,10,4,0,20.0,,10,False,1.0,s13g2,2,2,8,8,8,0,0,92.5,53.0,4.038,individualist,4.0,58.0,7,0,6,4,0,7,9,2,1996,0,ES,0,True,5,6,,2,True,1,Une expérience assez intéressante.,21.0
yqf918j3,2023-09-11,13:05:09.868880,bsknvn28,40,1,s30g9,2,2.0,2.0,2.0,0,5,6,0,15.0,2.0,20,False,2.0,s30g8,1,0,8,0,0,0,8,78.333,78.333,45.0,prosocial,6.0,85.0,5,3,1,8,1,7,6,8,2005,0,FR,0,True,0,6,,2,False,1,,17.0
9hkdzuk6,2021-12-02,11:12:19.680224,bt1fsaed,20,1,s5g3,2,2.0,0.0,2.0,1,5,4,0,15.0,,70,False,7.0,s5g3,1,0,8,8,4,4,8,83.0,73.0,34.875,prosocial,1.0,85.0,7,2,5,3,1,7,10,7,1995,1,FR,0,False,5,2,8.0,5,True,2,,19.25
vrmpn3zv,2023-10-05,14:08:37.782275,c45a75gi,20,2,s29g6,1,0.0,0.0,1.0,0,5,1,0,25.0,2.0,46,True,0.0,s29g4,2,0,8,8,7,0,3,90.833,59.833,13.54,individualist,3.0,100.0,4,2,3,8,1,3,2,2,1994,0,IT,0,True,5,23,,2,True,1,,25.0
bgvzfud6,2023-06-06,15:44:36.380754,cbx3a9fy,20,2,s7g5,1,2.0,2.0,2.0,3,1,2,0,29.0,1.0,50,True,0.0,s7g2,2,8,8,7,8,0,0,91.833,44.5,-7.49,individualist,2.0,15.0,4,6,9,1,0,4,10,1,2004,1,FR,0,True,1,8,,10,True,1,Expérience très intéressante pour les radins,29.0
